wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q509884,Australian National Botanic Gardens,Australia,-35.278888888,149.109166666,https://parksaustralia.gov.au/botanic-gardens/,1949-01-01,,http://www.wikidata.org/entity/Q509884,Wikidata
Q509884,Australian National Botanic Gardens,Australia,-35.278888888,149.109166666,https://www.anbg.gov.au/gardens/index.html,1949-01-01,,http://www.wikidata.org/entity/Q509884,Wikidata
Q475580,Botanischer Garten Karlsruhe,Germany,49.0131,8.40044,,1808-01-01,,http://www.wikidata.org/entity/Q475580,Wikidata
Q517377,Jardin botanique de la Font de Bézombes,France,43.65055556,3.50416667,https://www.saintguilhem-valleeherault.fr/annuaire/jardin-botanique-de-la-font-de-bezombes.html,,,http://www.wikidata.org/entity/Q517377,Wikidata
Q153541,Botanical Garden of Mérida,Venezuela,8.623694444,-71.144111111,http://www.botanica.ciens.ula.ve/,1991-01-01,,http://www.wikidata.org/entity/Q153541,Wikidata
Q153256,Ruth Bancroft Garden,United States,37.9238,-122.037,,,,http://www.wikidata.org/entity/Q153256,Wikidata
Q323124,Botanischer Garten Erlangen,Germany,49.5992,11.0067,,,,http://www.wikidata.org/entity/Q323124,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/,1600-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/en/,1600-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/,1600-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/en/,1600-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q63203,Hiroshima Botanical Garden,Japan,34.39191667,132.34694444,http://www.hiroshima-bot.jp/,,,http://www.wikidata.org/entity/Q63203,Wikidata
Q63203,Hiroshima Botanical Garden,Japan,34.39191667,132.34694444,http://www.hiroshima-bot.jp/english/,,,http://www.wikidata.org/entity/Q63203,Wikidata
Q317714,Botanischer Garten Jena,Germany,50.9311,11.5861,https://www.botanischergarten.uni-jena.de/,,,http://www.wikidata.org/entity/Q317714,Wikidata
Q4998,Ringve Botanical Garden,Norway,63.4483,10.4523,,,,http://www.wikidata.org/entity/Q4998,Wikidata
Q558491,Fell Arboretum,United States,40.5108,-88.9935,https://arboretum.illinoisstate.edu,,,http://www.wikidata.org/entity/Q558491,Wikidata
Q321575,Botanischer Garten der Technischen Universität Dresden,Germany,51.04302,13.75856,https://tu-dresden.de/bg,1820-01-01,,http://www.wikidata.org/entity/Q321575,Wikidata
Q477368,Glendurgan Garden,United Kingdom,50.1066,-5.11726,https://www.nationaltrust.org.uk/glendurgan-garden/,,,http://www.wikidata.org/entity/Q477368,Wikidata
Q427979,Belize Botanic Gardens,Belize,17.083333333,-89.066666666,http://belizebotanic.org/,1997-01-01,,http://www.wikidata.org/entity/Q427979,Wikidata
Q174823,Ökologisch-Botanischer Garten der Universität Bayreuth,Germany,49.9235,11.5854,,,,http://www.wikidata.org/entity/Q174823,Wikidata
Q559261,Washington Park,United States,39.789921,-89.675055,https://www.springfieldparks.org/locations/40/washington-park/springfield/location-details,1901-01-01,,http://www.wikidata.org/entity/Q559261,Wikidata
