city,col_2_comments,coordinates,country,founded,name,notes,region,source,source_url,wikipedia_url
,,,Canada,,University of Guelph Arboretum,"University of Guelph Arboretum,Guelph",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/University_of_Guelph_Arboretum
,,,Canada,,University of Toronto,"University of TorontoErindale College Conservatory,Mississauga",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/University_of_Toronto
,,,Canada,,Toronto Zoo,"Toronto Zoo, Toronto",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Toronto_Zoo
,,,Canada,,University of Western Ontario,"University of Western OntarioSherwood Fox Arboretum, London",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/University_of_Western_Ontario
,,,Canada,,Montreal Botanical Garden,"Montreal Botanical Garden,Montreal[11]",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Montreal_Botanical_Garden
,,,Canada,,Jardins de Métis,"Jardins de Métis,Grand-Métis[12]",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Jardins_de_M%C3%A9tis
,,,Canada,,Mont Royal Park,"Mont Royal Park, Montreal",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Mount_Royal#Mount_Royal_Park
,,,Canada,,Man and His World,"Man and His World, Montreal",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Man_and_His_World
,,,Canada,,Morgan Arboretum,"Morgan Arboretum,Macdonald CampusofMcGill University,Sainte-Anne-de-Bellevue",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Morgan_Arboretum
,,,Canada,,University of Saskatchewan,"University of SaskatchewanGardens,Saskatoon",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/University_of_Saskatchewan
,,,Canada,,Regina Floral Conservatory,"Regina Floral Conservatory, Regina",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_Canada,https://en.wikipedia.org/wiki/Regina_Floral_Conservatory
,,,United Kingdom,,Harris Garden,"Harris Garden,University of Reading,Reading",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Harris_Garden
,,,United Kingdom,,Birmingham Botanical Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Birmingham_Botanical_Gardens_(United_Kingdom)
,,,United Kingdom,,Winterbourne Botanic Garden,"Winterbourne Botanic Garden,University of Birmingham",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Winterbourne_Botanic_Garden
,,,United Kingdom,,Bristol University Botanic Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Bristol_University_Botanic_Gardens
,,,United Kingdom,,Cambridge University Botanic Garden,"Cambridge University Botanic Garden,Cambridge",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Cambridge_University_Botanic_Garden
,,,United Kingdom,,Jodrell Bank Arboretum,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Jodrell_Bank_Arboretum
,,,United Kingdom,,Ness Botanic Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Ness_Botanic_Gardens
,,,United Kingdom,,Eden Project,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Eden_Project
,,,United Kingdom,,Lost Gardens of Heligan,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Lost_Gardens_of_Heligan
,,,United Kingdom,,Trebah,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Trebah
,,,United Kingdom,,University of Durham Botanic Garden,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/University_of_Durham_Botanic_Garden
,,,United Kingdom,,Derby Arboretum,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Derby_Arboretum
,,,United Kingdom,,Bicton Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Bicton_Gardens
,,,United Kingdom,,Paignton Zoo,"Paignton Botanical Gardens,Paignton Zoo",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Paignton_Zoo
,,,United Kingdom,,RHS Garden Rosemoor,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/RHS_Garden_Rosemoor
,,,United Kingdom,,Abbotsbury Subtropical Gardens,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Abbotsbury_Subtropical_Gardens
